temperature,dewpoint_temperature,wind_speed,mean_sea_level_pressure,relative_humidity,surface_solar_radiation,surface_thermal_radiation,total_cloud_cover,time_stamp
14.165604934692382,9.764811205267907,3.6209135025739667,101614.97571234703,0.7474825882911682,180.51175797760484,324.445838265419,0.5832513570785522,2010-01-01
14.185484651674805,9.756545132208018,3.631221195672518,101614.69923832787,0.7471361989770497,180.5610554490938,324.4322839389363,0.5830574308876855,2010-02-01
14.203440525078284,9.749079001702315,3.6405313700841133,101614.44951985896,0.7468233312094589,180.6055821975354,324.42004132146803,0.5828822717475477,2010-03-01
14.223320233445836,9.740812805895551,3.6508454465116826,101614.17337047354,0.7464772377862929,180.65485386664787,324.40648132038723,0.582688642216703,2010-04-01
14.242558662630028,9.73281324900339,3.6608275021068812,101613.90616435303,0.7461423408090856,180.70253332039914,324.3933581228348,0.5825012909976705,2010-05-01
14.262438368904206,9.72454674445676,3.671148147311627,101613.63023751829,0.7457965642759526,180.75177566484913,324.3797927432236,0.5823079227297834,2010-06-01
14.281676793134464,9.716546854851726,3.6811367727704716,101613.36324021494,0.7454619854021332,180.79942548196271,324.36666422278194,0.582120827266392,2010-07-01
14.301556566126306,9.70828014792887,3.6914642180514226,101613.08753258716,0.7451165232542906,180.84863555927495,324.3530937719121,0.5819277370437559,2010-08-01
14.321436347950241,9.700013406469264,3.701792892213361,101612.81186484532,0.7447711177892273,180.89783974982868,324.3395224174726,0.5817346974791473,2010-09-01
14.340674829958733,9.69201314696835,3.7117940820393422,101612.54564823401,0.7444371099416619,180.94542124458286,324.32638467515267,0.5815480830852234,2010-10-01
14.36055459983818,9.683746169904246,3.7221299666631826,101612.27068742941,0.7440920278455315,180.9945805564226,324.3128080377004,0.5813552942281608,2010-11-01
14.37979310282886,9.675745646392587,3.73213790911704,101612.0046071018,0.7437583176987014,181.0421222006446,324.2996653536911,0.5811689286656776,2010-12-01
14.399672889771864,9.667478370981481,3.7424810632271748,101611.72966062435,0.7434135540311054,181.0912392269899,324.28608341891254,0.580976410858773,2011-01-01
14.419552676544567,9.659211032169354,3.7528292564070376,101611.45474322673,0.7430690267308756,181.14032202260577,324.2724965858896,0.5807840931525351,2011-02-01
14.437508614679471,9.651743743385014,3.7621775282077308,101611.20643933874,0.7427579121579913,181.18464453865738,324.2602231283203,0.5806104473396653,2011-03-01
14.45738905046238,9.643475966325733,3.772531954562267,101610.93148694937,0.7424136559781821,181.23367036524297,324.2466301230061,0.5804178843340179,2011-04-01
14.476628515019126,9.635474672759111,3.7825547573881666,101610.66538075755,0.7420806056877239,181.28109083230873,324.2334732150809,0.5802313691754016,2011-05-01
14.496510869886682,9.627206329517707,3.792916614128717,101610.39032697259,0.7417365832511776,181.33005886150485,324.2198744739501,0.580038673059208,2011-06-01
14.515752816365202,9.619204492582016,3.8029472557066937,101610.12409849837,0.7414037371436925,181.37742707285,324.2067123904689,0.5798522152340869,2011-07-01
14.535637602495036,9.610935720226571,3.8133158000702987,101609.84894096473,0.7410599622930232,181.42634568677585,324.1931086112972,0.5796597354723219,2011-08-01
14.555523440175067,9.602666803906965,3.823686950714427,101609.57374348537,0.7407163097607171,181.4752432163402,324.17950267524526,0.5794673982212489,2011-09-01
14.574767817775053,9.594664321451244,3.8337275122970897,101609.30745685173,0.740383909062088,181.5225385757611,324.1663329228262,0.5792816008882188,2011-10-01
14.594653667399571,9.586394827004296,3.844105984073856,101609.03232135109,0.7400405648787686,181.57139014638733,324.1527219535986,0.5790898849784288,2011-11-01
14.613898025012748,9.578391769707583,3.8541537136506268,101608.76634498927,0.7397084503354545,181.61864225606965,324.1395472512053,0.5789044066582235,2011-12-01
14.633783878049979,9.570121638232168,3.864540225392805,101608.49177294344,0.7393654124284262,181.66744703629178,324.1259307231031,0.578712796478078,2012-01-01
14.653669741715788,9.561851182728468,3.8749303041775947,101608.21728229903,0.7390225344572825,181.71623923708444,324.1123114574027,0.5785211842260817,2012-02-01
14.672272665225382,9.554114016983972,3.884653383792301,101607.96057669932,0.7387019271612653,181.76187171296885,324.09956829873977,0.5783419317173242,2012-03-01
14.692158570466916,9.545842953492324,3.8950493724479256,101607.6863320699,0.7383593223351785,181.81063191858684,324.0859439155925,0.5781500314029132,2012-04-01
14.711402972446216,9.537838325981614,3.9051130408253134,101607.42114484722,0.7380279141912935,181.85779443445213,324.072755994628,0.5779639565997191,2012-05-01
14.731288868167589,9.5295665658927,3.91551421898997,101607.14717526818,0.7376855568442092,181.90651152874275,324.0591269853541,0.5777718508597032,2012-06-01
14.750533337850676,9.521561173204342,3.9255829160007663,101606.88212866131,0.7373543885486851,181.95363112803932,324.0459353785375,0.5775861971276376,2012-07-01
14.770419292311985,9.513288606029331,3.935989858011021,101606.608965872,0.737012280738079,182.00231179990416,324.03230194796157,0.5773946369057117,2012-08-01
14.79030525284962,9.505015404012683,3.9464014877940707,101606.33709120612,0.7366703500764867,182.05097525136517,324.0186647705666,0.577203580996824,2012-09-01
14.80954975557498,9.497008700603123,3.9564797814262764,101606.07440008616,0.7363395407113296,182.09805313478492,324.0054660338177,0.5770189003812142,2012-10-01
14.829435775835064,9.488734373062814,3.966899247751387,101605.8038104561,0.7359978947472778,182.14666750249523,323.99182431771624,0.5768285045597933,2012-11-01
14.848680954806527,9.480727005906415,3.9769848107405923,101605.54219690863,0.7356673692566552,182.19371011927413,323.9786215149081,0.574616364618588,2012-12-01
14.868569336662787,9.472452812814325,3.987412024017169,101605.27247279056,0.7353260715338854,182.24231206611034,323.96497568170025,0.5673231536099343,2013-01-01
